Especie;Sexo;Esc_ventrais;Esc_subcaudais;CRC;CC
Liophis_dorsalis;F;159;67;24,5;7,6
Liophis_dorsalis;M;157;63;20,8;5,4
Liophis_dorsalis;F;163;67;39,5;5,1
Liophis_dorsalis;F;155;73;27,4;9,5
Liophis_dorsalis;M;160;65;29,2;10,3
Liophis_dorsalis;M;161;68;29,3;9,1
Liophis_dorsalis;M;162;73;29,5;10,5
Liophis_dorsalis;F;157;64;29,3;8,7
Liophis_dorsalis;F;162;64;31,4;8,7
Liophis_dorsalis;F;166;67;30,7;10,4
Liophis_dorsalis;F;158;58;35,6;10,8
Liophis_dorsalis;M;158;69;26,8;9
Liophis_dorsalis;M;160;70;27,4;8,5
Liophis_dorsalis;M;165;65;31,8;9,5
Liophis_dorsalis;F;153;66;29,4;9,6
Liophis_dorsalis;F;165;73;26,4;9,1
Liophis_dorsalis;M;163;71;36,9;12,3
Liophis_dorsalis;F;158;65;32,5;5,1
Liophis_dorsalis;M;161;66;37,6;12
Liophis_dorsalis;F;164;72;33,4;11,1
Liophis_dorsalis;F;162;64;39,1;12,5
Liophis_dorsalis;F;154;65;43;13,5
Liophis_dorsalis;F;165;73;33,4;11,2
Liophis_dorsalis;F;161;68;36,2;11,6
Liophis_dorsalis;F;157;70;37,8;12,1
Liophis_dorsalis;F;156;71;36,6;11,2
Liophis_dorsalis;F;154;65;46,4;14,2
Liophis_dorsalis;F;157;72;44,6;14,9
Liophis_dorsalis;M;157;68;28,9;9,4
Liophis_dorsalis;M;161;72;31;10,3
Liophis_dorsalis;M;161;71;35,1;11,8
Liophis_dorsalis;M;154;67;25,5;8,8
Liophis_dorsalis;M;158;68;41,5;13,4
Liophis_dorsalis;F;168;70;36,3;13,2
Liophis_dorsalis;M;160;69;33,6;10,7
Liophis_dorsalis;F;156;69;40,6;13,5
Liophis_dorsalis;F;163;68;43,1;13,5
Liophis_dorsalis;F;160;65;42,5;13,1
Liophis_dorsalis;F;163;68;38,9;12,3
Liophis_dorsalis;F;169;65;39,2;12,3
Liophis_dorsalis;F;157;72;39,1;13,8
Liophis_dorsalis;F;153;61;45,8;13,4
Liophis_dorsalis;F;153;63;45,4;13,9
Liophis_dorsalis;M;162;69;37,8;12,3
Liophis_dorsalis;M;161;71;34,7;11,6
Liophis_dorsalis;F;153;63;31,8;11,1
Liophis_dorsalis;M;157;67;30,8;10,3
Liophis_dorsalis;F;155;65;41,9;13,2
Liophis_dorsalis;F;163;67;28,4;9,9
Liophis_dorsalis;M;157;62;34,4;10,6
Liophis_dorsalis;M;163;69;27,1;8,8
Liophis_dorsalis;F;159;62;33,3;9,6
Liophis_dorsalis;M;157;63;24,1;7,2
Liophis_dorsalis;M;162;59;34,4;8,7
Liophis_dorsalis;F;156;59;25;6,8
Liophis_dorsalis;F;158;59;37,4;10,6
Liophis_dorsalis;F;158;58;34,9;10,1
Liophis_dorsalis;M;158;59;27,2;7,3
Liophis_dorsalis;M;162;63;23,7;6,4
Liophis_dorsalis;M;163;67;34,4;10,6
Liophis_dorsalis;M;159;57;35,4;10,5
Liophis_dorsalis;M;163;57;34,7;9,9
Liophis_dorsalis;M;160;61;31,8;9,5
Liophis_jaegeri;F;152;59;44,5;12,5
Liophis_jaegeri;M;155;61;38,9;11,2
Liophis_jaegeri;M;156;61;36,4;10,1
Liophis_jaegeri;F;160;61;40,7;11,8
Liophis_jaegeri;F;146;60;31,8;9,2
Liophis_jaegeri;F;147;57;38,8;10,3
Liophis_jaegeri;M;168;62;29,4;8,2
Liophis_jaegeri;F;149;61;34,2;9,8
Liophis_jaegeri;F;161;63;36,7;10,4
Liophis_jaegeri;F;161;63;32,9;9,6
Liophis_jaegeri;F;156;58;40;11
Liophis_jaegeri;M;151;57;32,2;9,5
Liophis_jaegeri;F;150;63;39,6;12,7
Liophis_jaegeri;F;161;51;40;11
Liophis_jaegeri;F;153;53;43,3;11,7
Liophis_jaegeri;F;164;58;47,7;13,1
Liophis_jaegeri;F;145;63;36,8;11,7
Liophis_jaegeri;F;155;56;39,5;11
Liophis_jaegeri;M;160;62;32,3;9,1
Liophis_jaegeri;M;159;60;34,3;9,3
Liophis_jaegeri;M;150;57;29,5;9
Liophis_jaegeri;M;157;64;38,4;8,6
Liophis_jaegeri;F;150;60;36,4;10,8
Liophis_jaegeri;M;160;62;34,8;10,5
Liophis_jaegeri;F;159;58;33,7;9,3
Liophis_jaegeri;M;148;59;30;9
Liophis_jaegeri;M;164;66;35,1;10,4
Liophis_jaegeri;F;150;60;44,2;11,8
Liophis_jaegeri;M;153;59;42,2;11,5
Liophis_jaegeri;F;155;59;31;8,7
Liophis_jaegeri;M;149;66;25,9;9,2
Liophis_jaegeri;F;153;56;40,5;10,5
Liophis_jaegeri;M;151;61;26,7;7,8
Liophis_jaegeri;F;149;54;28,7;7,8
Liophis_jaegeri;M;156;59;25,3;7
Liophis_jaegeri;F;157;61;38,6;10,9
Liophis_jaegeri;F;150;57;27,3;7,8
Liophis_jaegeri;F;144;57;39;10,9
Liophis_jaegeri;M;159;59;41;11,7
Liophis_jaegeri;M;153;60;30,9;9,4
Liophis_jaegeri;F;146;58;40,9;11,5
Liophis_jaegeri;F;160;54;42,9;10,1
Liophis_jaegeri;F;146;63;32;9,6
Liophis_jaegeri;M;150;64;25,6;9,5
Liophis_jaegeri;M;161;63;36,5;10,8
Liophis_jaegeri;M;153;60;33,8;9,9
Liophis_jaegeri;F;156;56;45,7;11,1
Liophis_jaegeri;F;152;50;38,5;9
Liophis_jaegeri;F;150;60;38;11
Liophis_jaegeri;M;148;65;32,1;10,7
Liophis_jaegeri;F;144;56;29,2;8,6
Liophis_jaegeri;M;159;59;36;9,6
Liophis_jaegeri;F;149;58;37,3;10,6
